Triazine_ID,SMILES,MolWt,LogP,TPSA,HBD,HBA,RotatableBonds,AromaticRings,n_triazine_rings,mol,Has_Hydrazine,Has_Acyl_Hydrazide
TRZ00001,Cc1nnc(-c2ccncc2)nc1C,186.22,1.55,51.56,0,4,1,2,1,<rdkit.Chem.rdchem.Mol object at 0x000002016A544DD0>,False,False
TRZ00002,Cc1nnc(-c2ccccc2)nc1C,185.23,2.16,38.67,0,3,1,2,1,<rdkit.Chem.rdchem.Mol object at 0x000002016A544E40>,False,False
TRZ00003,Cc1nnc(-c2ccc(N)cc2)nc1C,200.24,1.74,64.69,1,4,1,2,1,<rdkit.Chem.rdchem.Mol object at 0x000002016A544EB0>,False,False
TRZ00004,Cc1nnc(-c2ccc(Br)cc2)nc1C,264.13,2.92,38.67,0,3,1,2,1,<rdkit.Chem.rdchem.Mol object at 0x000002016A544F20>,False,False
TRZ00005,COc1ccc(-c2nnc(C)c(C)n2)cc1,215.26,2.16,47.9,0,4,2,2,1,<rdkit.Chem.rdchem.Mol object at 0x000002016A544F90>,False,False
TRZ00006,Cc1nnc(-c2ccccc2O)nc1C,201.23,1.86,58.9,1,4,1,2,1,<rdkit.Chem.rdchem.Mol object at 0x000002016A545000>,False,False
TRZ00007,Cc1nnc(-c2ccc(O)cc2)nc1C,201.23,1.86,58.9,1,4,1,2,1,<rdkit.Chem.rdchem.Mol object at 0x000002016A545070>,False,False
TRZ00008,Cc1nnc(CN2C(=O)CN=C(c3ccccc3)c3cc(Br)ccc32)nc1C,436.31,3.64,71.34,0,5,3,3,1,<rdkit.Chem.rdchem.Mol object at 0x000002016A5450E0>,False,False
TRZ00009,Cc1nnc(CP(=O)(c2ccccc2)c2ccccc2)nc1C,323.34,3.0,55.74,0,4,4,3,1,<rdkit.Chem.rdchem.Mol object at 0x000002016A545150>,False,False
TRZ00010,COc1ccccc1-c1nnc(C)c(C)n1,215.26,2.16,47.9,0,4,2,2,1,<rdkit.Chem.rdchem.Mol object at 0x000002016A5451C0>,False,False
TRZ00011,Cc1nnc(-c2ccccc2[N+](=O)[O-])nc1C,230.23,2.06,81.81,0,5,2,2,1,<rdkit.Chem.rdchem.Mol object at 0x000002016A545230>,False,False
TRZ00012,Cc1nnc(-c2cccc(-c3nnc(C)c(C)n3)c2)nc1C,292.35,2.62,77.34,0,6,2,3,2,<rdkit.Chem.rdchem.Mol object at 0x000002016A5452A0>,False,False
TRZ00013,Cc1nnc(CCc2cc(C(C)(C)C)c(O)c(C(C)(C)C)c2)nc1C,341.5,4.57,58.9,1,4,3,2,1,<rdkit.Chem.rdchem.Mol object at 0x000002016A545310>,False,False
TRZ00014,Cc1nnc(Cc2ccccc2)nc1C,199.26,2.08,38.67,0,3,2,2,1,<rdkit.Chem.rdchem.Mol object at 0x000002016A545380>,False,False
TRZ00015,Cc1nnc(-c2cc3ccccc3cc2O)nc1C,251.29,3.01,58.9,1,4,1,3,1,<rdkit.Chem.rdchem.Mol object at 0x000002016A5453F0>,False,False
TRZ00016,Cc1nnc(-c2ccc(N)cc2O)nc1C,216.24,1.44,84.92,2,5,1,2,1,<rdkit.Chem.rdchem.Mol object at 0x000002016A545460>,False,False
TRZ00017,Cc1nnc(-c2cccnc2)nc1C,186.22,1.55,51.56,0,4,1,2,1,<rdkit.Chem.rdchem.Mol object at 0x000002016A5454D0>,False,False
TRZ00018,Cc1nnc(-c2ccc([N+](=O)[O-])cc2)nc1C,230.23,2.06,81.81,0,5,2,2,1,<rdkit.Chem.rdchem.Mol object at 0x000002016A545540>,False,False
TRZ00019,Cc1nnc(-c2ccc(S(N)(=O)=O)cc2)nc1C,264.31,0.8,98.83,1,5,2,2,1,<rdkit.Chem.rdchem.Mol object at 0x000002016A5455B0>,False,False
TRZ00020,Cc1nnc(-c2sc3ccccc3c2Cl)nc1C,275.76,4.02,38.67,0,4,1,3,1,<rdkit.Chem.rdchem.Mol object at 0x000002016A545620>,False,False
TRZ00021,Cc1nnc(-c2sc3cccc(Cl)c3c2Cl)nc1C,310.21,4.68,38.67,0,4,1,3,1,<rdkit.Chem.rdchem.Mol object at 0x000002016A545690>,False,False
TRZ00022,Cc1nnc(-c2ccccc2Cl)nc1C,219.67,2.81,38.67,0,3,1,2,1,<rdkit.Chem.rdchem.Mol object at 0x000002016A545700>,False,False
TRZ00023,Cc1nnc(-c2cccc([N+](=O)[O-])c2)nc1C,230.23,2.06,81.81,0,5,2,2,1,<rdkit.Chem.rdchem.Mol object at 0x000002016A545770>,False,False
TRZ00024,Cc1nnc(-c2ccc(Cl)cc2)nc1C,219.67,2.81,38.67,0,3,1,2,1,<rdkit.Chem.rdchem.Mol object at 0x000002016A5457E0>,False,False
TRZ00025,Cc1nnc(-c2cc3ccccc3[nH]2)nc1C,224.27,2.64,54.46,1,3,1,3,1,<rdkit.Chem.rdchem.Mol object at 0x000002016A545850>,False,False
TRZ00026,Cc1nnc(-c2ccccc2N)nc1C,200.24,1.74,64.69,1,4,1,2,1,<rdkit.Chem.rdchem.Mol object at 0x000002016A5458C0>,False,False
TRZ00027,Cc1nnc(-c2ccco2)nc1C,175.19,1.75,51.81,0,4,1,2,1,<rdkit.Chem.rdchem.Mol object at 0x000002016A545930>,False,False
TRZ00028,Cc1nnc(Cc2c[nH]c3ccccc23)nc1C,238.29,2.56,54.46,1,3,2,3,1,<rdkit.Chem.rdchem.Mol object at 0x000002016A5459A0>,False,False
TRZ00029,Cc1nnc(C(O)c2ccccc2)nc1C,215.26,1.57,58.9,1,4,2,2,1,<rdkit.Chem.rdchem.Mol object at 0x000002016A545A10>,False,False
TRZ00030,Cc1nnc(C(O)(c2ccccc2)c2ccccc2)nc1C,291.35,2.77,58.9,1,4,3,3,1,<rdkit.Chem.rdchem.Mol object at 0x000002016A545A80>,False,False
TRZ00031,CCN(CC)c1ccc(-c2nnc(C)c(C)n2)cc1,256.35,3.0,41.91,0,4,4,2,1,<rdkit.Chem.rdchem.Mol object at 0x000002016A545AF0>,False,False
TRZ00032,Cc1nnc(COc2cccc3ccccc23)nc1C,265.32,3.22,47.9,0,4,3,3,1,<rdkit.Chem.rdchem.Mol object at 0x000002016A545B60>,False,False
TRZ00033,Cc1ccc(-c2nnc(C)c(C)n2)cc1,199.26,2.46,38.67,0,3,1,2,1,<rdkit.Chem.rdchem.Mol object at 0x000002016A545BD0>,False,False
TRZ00034,Cc1nnc(-c2ccc(N(C)C)cc2)nc1C,228.3,2.22,41.91,0,4,2,2,1,<rdkit.Chem.rdchem.Mol object at 0x000002016A545C40>,False,False
TRZ00035,Cc1nnc(-c2sc(N)nc2C)nc1C,221.29,1.5,77.58,1,6,1,2,1,<rdkit.Chem.rdchem.Mol object at 0x000002016A545CB0>,False,False
TRZ00036,Cc1nnc(Cn2cnc3ccccc32)nc1C,239.28,1.89,56.49,0,4,2,3,1,<rdkit.Chem.rdchem.Mol object at 0x000002016A545D20>,False,False
TRZ00037,Cc1ccc(NC(=O)c2nnc(C)c(C)n2)cc1,242.28,2.05,67.77,1,4,2,2,1,<rdkit.Chem.rdchem.Mol object at 0x000002016A545D90>,False,False
TRZ00038,Cc1nnc(-c2cnn(-c3ccccc3)c2C(F)(F)F)nc1C,319.29,3.36,56.49,0,4,2,3,1,<rdkit.Chem.rdchem.Mol object at 0x000002016A545E00>,False,False
TRZ00039,Cc1nnc(CCn2c3ccccc3c3ccccc32)nc1C,302.38,3.84,43.6,0,3,3,4,1,<rdkit.Chem.rdchem.Mol object at 0x000002016A545E70>,False,False
TRZ00040,Cc1nnc(-c2cccc(O)c2)nc1C,201.23,1.86,58.9,1,4,1,2,1,<rdkit.Chem.rdchem.Mol object at 0x000002016A545EE0>,False,False
TRZ00041,Cc1nnc(-c2cc(O)c(O)c(O)c2)nc1C,233.23,1.27,99.36,3,6,1,2,1,<rdkit.Chem.rdchem.Mol object at 0x000002016A545F50>,False,False
TRZ00042,Cc1nnc(-c2cnccn2)nc1C,187.21,0.95,64.45,0,5,1,2,1,<rdkit.Chem.rdchem.Mol object at 0x000002016A545FC0>,False,False
TRZ00043,Cc1nnc(Cn2nc(C)c(Br)c2C)nc1C,296.17,2.11,56.49,0,4,2,2,1,<rdkit.Chem.rdchem.Mol object at 0x000002016A546030>,False,False
TRZ00044,Cc1cc(C)nc(SCc2nnc(C)c(C)n2)n1,261.35,2.19,64.45,0,6,3,2,1,<rdkit.Chem.rdchem.Mol object at 0x000002016A5460A0>,False,False
TRZ00045,COc1ccccc1-c1cc(-c2nnc(C)c(C)n2)[nH]n1,281.32,2.55,76.58,1,5,3,3,1,<rdkit.Chem.rdchem.Mol object at 0x000002016A546110>,False,False
TRZ00046,Cc1nnc(-c2cn3ccc4ccccc4c3n2)nc1C,275.32,2.96,55.97,0,4,1,4,1,<rdkit.Chem.rdchem.Mol object at 0x000002016A546180>,False,False
TRZ00047,Cc1nnc(-c2ccccc2OCc2ccccc2)nc1C,291.35,3.73,47.9,0,4,4,3,1,<rdkit.Chem.rdchem.Mol object at 0x000002016A5461F0>,False,False
TRZ00048,Cc1nnc(-c2[nH]c3ccc(S(N)(=O)=O)cc3c2-c2ccccc2)nc1C,379.45,2.95,114.62,2,5,3,4,1,<rdkit.Chem.rdchem.Mol object at 0x000002016A546260>,False,False
TRZ00049,Cc1nnc(-c2cc(-c3ccc(N)cc3)nc3ccc(Br)cc23)nc1C,406.29,4.72,77.58,1,5,2,4,1,<rdkit.Chem.rdchem.Mol object at 0x000002016A5462D0>,False,False
TRZ00050,Cc1nnc(-c2ccc3ccccc3n2)nc1C,236.28,2.7,51.56,0,4,1,3,1,<rdkit.Chem.rdchem.Mol object at 0x000002016A546340>,False,False
TRZ00051,COC(=O)c1ccc(-c2nnc(C)c(C)n2)cc1,243.27,1.94,64.97,0,5,2,2,1,<rdkit.Chem.rdchem.Mol object at 0x000002016A5463B0>,False,False
TRZ00053,Cc1nnc(-c2cccnc2Oc2ccccc2)nc1C,278.31,3.34,60.79,0,5,3,3,1,<rdkit.Chem.rdchem.Mol object at 0x000002016A546420>,False,False
TRZ00054,Cc1nnc(C(=O)Nc2ccc(Cl)c(Cl)c2)nc1C,297.15,3.05,67.77,1,4,2,2,1,<rdkit.Chem.rdchem.Mol object at 0x000002016A546490>,False,False
TRZ00055,Cc1nnc(-c2ccc([N+](=O)[O-])o2)nc1C,220.19,1.66,94.95,0,6,2,2,1,<rdkit.Chem.rdchem.Mol object at 0x000002016A546500>,False,False
TRZ00056,Cc1nnc(-c2c[nH]c3ccccc23)nc1C,224.27,2.64,54.46,1,3,1,3,1,<rdkit.Chem.rdchem.Mol object at 0x000002016A546570>,False,False
TRZ00057,Cc1nnc(-c2cc(Cl)ccn2)nc1C,220.66,2.2,51.56,0,4,1,2,1,<rdkit.Chem.rdchem.Mol object at 0x000002016A5465E0>,False,False
TRZ00058,COc1c(Cl)cc(-c2nnc(C)c(C)n2)cc1Cl,284.15,3.47,47.9,0,4,2,2,1,<rdkit.Chem.rdchem.Mol object at 0x000002016A546650>,False,False
TRZ00059,COc1ccc(/C=C/c2nnc(C)c(C)n2)cc1,241.29,2.67,47.9,0,4,3,2,1,<rdkit.Chem.rdchem.Mol object at 0x000002016A5466C0>,False,False
TRZ00060,Cc1nnc(-c2ccc(O)cc2O)nc1C,217.23,1.57,79.13,2,5,1,2,1,<rdkit.Chem.rdchem.Mol object at 0x000002016A546730>,False,False
TRZ00061,Cc1nnc(C(C)Oc2cccc(Cl)c2)nc1C,263.73,3.28,47.9,0,4,3,2,1,<rdkit.Chem.rdchem.Mol object at 0x000002016A5467A0>,False,False
TRZ00062,Cc1cccc(-c2nnc(C)c(C)n2)c1,199.26,2.46,38.67,0,3,1,2,1,<rdkit.Chem.rdchem.Mol object at 0x000002016A546810>,False,False
TRZ00063,COc1ccccc1OCc1nnc(C)c(C)n1,245.28,2.08,57.13,0,5,4,2,1,<rdkit.Chem.rdchem.Mol object at 0x000002016A546880>,False,False
TRZ00065,Cc1nnc(-c2cc3c(s2)CCC(C)C3)nc1C,259.38,3.34,38.67,0,4,1,2,1,<rdkit.Chem.rdchem.Mol object at 0x000002016A5468F0>,False,False
TRZ00066,Cc1nnc(CC2Sc3ccccc3NC2=O)nc1C,286.36,2.14,67.77,1,5,2,2,1,<rdkit.Chem.rdchem.Mol object at 0x000002016A546960>,False,False
TRZ00067,Cc1nnc(-c2cn3ccccc3n2)nc1C,225.25,1.8,55.97,0,4,1,3,1,<rdkit.Chem.rdchem.Mol object at 0x000002016A5469D0>,False,False
TRZ00068,Cc1nnc(-c2ncccn2)nc1C,187.21,0.95,64.45,0,5,1,2,1,<rdkit.Chem.rdchem.Mol object at 0x000002016A546A40>,False,False
TRZ00069,Cc1nnc(-c2cccnn2)nc1C,187.21,0.95,64.45,0,5,1,2,1,<rdkit.Chem.rdchem.Mol object at 0x000002016A546AB0>,False,False
TRZ00070,Cc1nnc(-c2ccc(Cl)cc2Cl)nc1C,254.12,3.46,38.67,0,3,1,2,1,<rdkit.Chem.rdchem.Mol object at 0x000002016A546B20>,False,False
TRZ00071,Cc1nnc(CSc2nnc(-c3ccccc3)n2-c2ccccc2)nc1C,374.47,4.03,69.38,0,6,5,4,1,<rdkit.Chem.rdchem.Mol object at 0x000002016A546B90>,False,False
TRZ00072,Cc1nnc(-c2nc3ccccc3s2)nc1C,242.31,2.77,51.56,0,5,1,3,1,<rdkit.Chem.rdchem.Mol object at 0x000002016A546C00>,False,False
TRZ00073,Cc1nnc(-c2cncc(Br)c2)nc1C,265.11,2.31,51.56,0,4,1,2,1,<rdkit.Chem.rdchem.Mol object at 0x000002016A546C70>,False,False
TRZ00074,Cc1cc(-c2nnc(C)c(C)n2)n[nH]1,189.22,1.19,67.35,1,4,1,2,1,<rdkit.Chem.rdchem.Mol object at 0x000002016A546CE0>,False,False
TRZ00075,Cc1nnc(-c2nc(Cl)c(Cl)c(N)c2Cl)nc1C,304.57,3.09,77.58,1,5,1,2,1,<rdkit.Chem.rdchem.Mol object at 0x000002016A546D50>,False,False
TRZ00076,Cc1nnc(-c2cc(Cl)ccc2Cl)nc1C,254.12,3.46,38.67,0,3,1,2,1,<rdkit.Chem.rdchem.Mol object at 0x000002016A546DC0>,False,False
TRZ00077,Cc1nnc(-c2ccccc2CO)nc1C,215.26,1.65,58.9,1,4,2,2,1,<rdkit.Chem.rdchem.Mol object at 0x000002016A546E30>,False,False
TRZ00078,Cc1nnc(COc2ccc(F)cc2)nc1C,233.25,2.21,47.9,0,4,3,2,1,<rdkit.Chem.rdchem.Mol object at 0x000002016A546EA0>,False,False
TRZ00079,Cc1nnc(-c2cc(Br)cs2)nc1C,270.15,2.98,38.67,0,4,1,2,1,<rdkit.Chem.rdchem.Mol object at 0x000002016A546F10>,False,False
TRZ00080,Cc1nnc(-c2ccc(-c3nnc(C)c(C)n3)cc2)nc1C,292.35,2.62,77.34,0,6,2,3,2,<rdkit.Chem.rdchem.Mol object at 0x000002016A546F80>,False,False
TRZ00081,Cc1nnc(-c2cc(-c3ccccc3)nc3ccccc23)nc1C,312.38,4.37,51.56,0,4,2,4,1,<rdkit.Chem.rdchem.Mol object at 0x000002016A546FF0>,False,False
TRZ00082,Cc1nnc(-c2cccc3ccccc23)nc1C,235.29,3.31,38.67,0,3,1,3,1,<rdkit.Chem.rdchem.Mol object at 0x000002016A547060>,False,False
TRZ00083,Cc1nnc(-c2cccs2)nc1C,191.26,2.22,38.67,0,4,1,2,1,<rdkit.Chem.rdchem.Mol object at 0x000002016A5470D0>,False,False
TRZ00084,Cc1nnc(-c2cccc(Cl)c2)nc1C,219.67,2.81,38.67,0,3,1,2,1,<rdkit.Chem.rdchem.Mol object at 0x000002016A547140>,False,False
TRZ00085,COc1cc(-c2nnc(C)c(C)n2)cc(OC)c1OC,275.31,2.18,66.36,0,6,4,2,1,<rdkit.Chem.rdchem.Mol object at 0x000002016A5471B0>,False,False
TRZ00086,Cc1nnc(-c2cccc(N)c2)nc1C,200.24,1.74,64.69,1,4,1,2,1,<rdkit.Chem.rdchem.Mol object at 0x000002016A547220>,False,False
TRZ00087,Cc1nnc(COc2ccccc2)nc1C,215.26,2.07,47.9,0,4,3,2,1,<rdkit.Chem.rdchem.Mol object at 0x000002016A547290>,False,False
TRZ00088,CCOc1ccc(-c2nnc(C)c(C)n2)cc1,229.28,2.55,47.9,0,4,3,2,1,<rdkit.Chem.rdchem.Mol object at 0x000002016A547300>,False,False
